Iteration,Independent Client,Client + Server Elevated
1,0.00233862,0.00234298
2,0.00263662,0.0025843899999999998
3,0.0026108399999999997,0.0025288500000000005
4,0.00264942,0.00256513
5,0.0026303700000000004,0.00254108
6,0.00264769,0.00255422
7,0.00264364,0.00258002
8,0.00263352,0.00259866
9,0.00261271,0.00271573
10,0.00262149,0.00257025
11,0.00260873,0.0025510100000000003
12,0.0026416499999999997,0.0025723800000000004
13,0.00264244,0.0025598900000000004
14,0.00262028,0.00255659
15,0.00261721,0.0025641
16,0.00262743,0.0025955699999999997
17,0.00262123,0.00258326
18,0.00263235,0.00503371
19,0.0027084200000000004,0.0057570699999999995
20,0.00265867,0.00222457
21,0.00263533,0.0020941799999999997
22,0.0026283,0.00211751
23,0.0026235300000000002,0.0021271799999999998
24,0.0026519300000000003,0.00209173
25,0.00263804,0.00210422
26,0.00242975,0.00211918
27,0.0026790900000000003,0.00209946
28,0.00266237,0.00209699
29,0.0026565499999999997,0.00219305
30,0.00265888,0.0020907300000000003
31,0.0026416,0.00205638
32,0.00263057,0.00214165
33,0.00269746,0.00212131
34,0.0026450600000000003,0.0021692
35,0.00266687,0.0021
36,0.00263589,0.00209652
37,0.0025296800000000003,0.00210769
38,0.00257877,0.00209633
39,0.0026497900000000004,0.00210159
40,0.00265006,0.00212709
41,0.0026173800000000003,0.00209758
42,0.00265908,0.00209948
43,0.0026654,0.00209307
44,0.0026549499999999997,0.00208655
45,0.0026255299999999996,0.00209363
46,0.00260525,0.00208878
47,0.0026050699999999997,0.00210706
48,0.00264557,0.00210086
49,0.00266335,0.00211196
50,0.00265352,0.00209965
51,0.0026417800000000003,0.00213242
52,0.00266914,0.00209779
53,0.00263922,0.00209017
54,0.0025063200000000002,0.0021253
55,0.00261467,0.00209182
56,0.00261652,0.00212593
57,0.0026459300000000003,0.0021116
58,0.0026288699999999997,0.00214412
59,0.0026292399999999997,0.00213083
60,0.0026395299999999997,0.00210057
61,0.0026377600000000003,0.00212573
62,0.00263546,0.00213722
63,0.00262131,0.00212912
64,0.00261828,0.00213774
65,0.00264509,0.00211472
66,0.00263775,0.00211554
67,0.00259857,0.00212852
68,0.00261903,0.0021492
69,0.0026296,0.00214509
70,0.00262746,0.00214482
71,0.0026597599999999997,0.00213766
72,0.00264047,0.00212115
73,0.00265119,0.00213802
74,0.00262931,0.00212994
75,0.00264221,0.00213954
76,0.00263586,0.00212227
77,0.0026098500000000004,0.00214307
78,0.0026222800000000003,0.00212875
79,0.00256608,0.0021510599999999998
80,0.0026016299999999997,0.0021525199999999998
81,0.00263504,0.00213998
82,0.00268849,0.00214784
83,0.00265198,0.00216519
84,0.0026453500000000003,0.00223654
85,0.00264919,0.00217954
86,0.0026321499999999998,0.00213894
87,0.0026481300000000003,0.00216257
88,0.00264786,0.00216039
89,0.00262395,0.00219544
90,0.0026236199999999997,0.00215648
91,0.00261052,0.00214371
92,0.00262114,0.0021319
93,0.0026133899999999997,0.00214814
94,0.00262838,0.0021545600000000002
95,0.00263975,0.00217607
96,0.0024177499999999998,0.00216879
97,0.0026260800000000003,0.00215185
98,0.00262758,0.00215766
99,0.00261723,0.00216314
100,0.00264757,0.00214705
